X,Y,Depth (m)
363583.72384102584,5800987.002292501,9.10
363582.88356670283,5800987.281535931,9.10
363582.0382165495,5800987.549790275,9.09
363581.18847171415,5800987.807036684,9.10
363580.3333700914,5800988.067770446,9.10
363579.4635294662,5800988.337816149,9.10
363578.5917686131,5800988.612367061,9.10
363577.71942679014,5800988.841302291,9.09
363576.8478008443,5800989.04684541,9.10
363575.98571110744,5800989.252124702,9.09
363575.1139313624,5800989.452107523,9.07
363574.2285286217,5800989.652467622,9.09
363573.3359719174,5800989.865268637,9.09
363572.4653968994,5800990.084139141,9.10
363571.58327314,5800990.304442481,9.09
363570.69217131624,5800990.520542631,9.07
363569.81109830417,5800990.754172893,9.08
363568.93135688757,5800990.986653479,9.07
363568.06474217796,5800991.225448669,9.06
363567.20528155786,5800991.451803248,9.03
363566.32399333466,5800991.677649289,9.03
363565.4562628574,5800991.925379628,8.99
363564.58657756826,5800992.200988591,9.02
363563.7395897269,5800992.459274728,9.02
363562.8777473527,5800992.673453304,9.01
363562.02132726694,5800992.861883517,9.02
363561.1432643059,5800993.0564779425,9.01
363560.2634620676,5800993.286735847,8.97
363559.4008081023,5800993.545456471,8.95
363558.5469821845,5800993.778334437,8.97
363557.7166617503,5800993.973833638,8.97
363556.8568054984,5800994.1612469265,8.95
363556.0038224112,5800994.350696023,8.91
363555.14971965173,5800994.573565489,8.91
363554.30048115243,5800994.775153924,8.90
363553.44824098615,5800994.96680885,8.90
363552.5817890563,5800995.16219633,8.90
363551.705985807,5800995.364520723,8.88
363550.8543616617,5800995.57841853,8.87
363550.00146765617,5800995.79569057,8.85
363549.14302840235,5800996.034262803,8.84
363548.2819262021,5800996.275134868,8.82
363547.4314071586,5800996.553555178,8.80
363546.58295874443,5800996.857516712,8.79
363545.7573000827,5800997.147491692,8.78
363544.9498441558,5800997.454770391,8.75
363544.12929616886,5800997.732361428,8.74
363543.30307980557,5800998.026804171,8.69
363542.487573514,5800998.338758088,8.70
363541.6570438163,5800998.698986023,8.68
363540.85834360437,5800999.0516549125,8.66
363540.07766874507,5800999.365983699,8.64
363539.3246748447,5800999.67064234,8.63
363538.5655543381,5800999.950985314,8.63
363537.7729343048,5801000.227804118,8.60
363536.9988213059,5801000.557533351,8.58
363536.2355723786,5801000.910334334,8.56
363535.44922599726,5801001.266000974,8.54
363534.668267346,5801001.619292605,8.51
363533.88641208113,5801001.964818373,8.48
363533.0904411607,5801002.292927561,8.47
363532.2728311177,5801002.602715534,8.45
363531.4675054256,5801002.962247319,8.42
363530.673851807,5801003.324794943,8.39
363529.8781548478,5801003.687399284,8.37
363529.055893108,5801004.05073939,8.33
363528.23790317384,5801004.420639191,8.30
363527.4161652213,5801004.8028856395,8.27
363526.5866883524,5801005.176442745,8.24
363525.7700646835,5801005.521819701,8.22
363524.9560769343,5801005.839299442,8.20
363524.13079049846,5801006.142623551,8.17
363523.30228319415,5801006.452714844,8.14
363522.47191732714,5801006.7695355965,8.10
363521.6565368776,5801007.0859414935,8.07
363520.84010579286,5801007.389020937,8.05
363520.01485064416,5801007.693457863,8.02
363519.19213183003,5801008.015632283,7.99
363518.3768714092,5801008.360972754,7.96
363517.5747033928,5801008.7360010855,7.92
363516.7591008417,5801009.093594026,7.89
363515.9419856585,5801009.421178689,7.85
363515.10406646784,5801009.735983966,7.82
363514.2713466348,5801010.066227034,7.79
363513.4325546159,5801010.423349804,7.76
363512.57961609866,5801010.761943948,7.74
363511.73847285256,5801011.108002391,7.71
363510.9161282427,5801011.419038132,7.69
363510.1102307857,5801011.683986544,7.68
363509.28133535455,5801011.906166038,7.65
363508.45401438803,5801012.160578328,7.63
363507.6225414865,5801012.437365245,7.61
363506.81224592624,5801012.715791715,7.56
363506.00424031913,5801013.003058695,7.55
363505.1702005931,5801013.260996564,7.54
363504.3349526616,5801013.524532913,7.52
363503.50580435974,5801013.786787491,7.50
363502.67755291087,5801014.056808193,7.49
363501.84227442846,5801014.319232849,7.48
363501.01095275907,5801014.626067038,7.45
363500.1476171535,5801014.933788091,7.44
363499.3321469467,5801015.246861367,7.42
363498.4964306388,5801015.542687971,7.41
363497.6574661595,5801015.819684122,7.39
363496.813672114,5801016.0945882425,7.38
363495.9834976946,5801016.393600707,7.36
363495.1427022213,5801016.702924278,7.35
363494.2805755832,5801017.005048032,7.33
363493.4334959412,5801017.308981096,7.32
363492.6146515729,5801017.6232619565,7.29
363491.7983196946,5801017.905197096,7.28
363490.9658628152,5801018.146398971,7.27
363490.11083567026,5801018.384887263,7.25
363489.2685245405,5801018.688688979,7.25
363488.4446353426,5801018.993093522,7.25
363487.6042480409,5801019.267904898,7.24
363486.7565564326,5801019.525111159,7.24
363485.89972930774,5801019.797039305,7.22
363485.0553135917,5801020.098674111,7.22
363484.2303774223,5801020.365267241,7.21
363483.40717671067,5801020.620682692,7.19
363482.5628946548,5801020.8533098,7.17
363481.71430674626,5801021.102750957,7.15
363480.85599123593,5801021.394754779,7.15
363480.0189112953,5801021.71510783,7.14
363479.15570470697,5801022.002795551,7.12
363478.28141834587,5801022.259627068,7.10
363477.41744172614,5801022.519512065,7.09
363476.5345196186,5801022.759888511,7.07
363475.66769198683,5801023.039886347,7.07
363474.7791976197,5801023.2759655835,7.06
363473.8988463045,5801023.51070642,7.06
363473.0094586136,5801023.71453446,7.06
363472.1274095741,5801023.912594481,7.05
363471.24449791666,5801024.079515264,7.04
363470.35867685697,5801024.239838961,7.02
363469.46025294304,5801024.412754696,7.02
363468.5730971879,5801024.598714118,7.01
363467.6733727133,5801024.773892165,6.99
363466.7783205968,5801024.970087456,6.97
363465.882125227,5801025.149619961,6.98
363464.9805423519,5801025.331527844,6.96
363464.0787746664,5801025.506763166,6.95
363463.19350536977,5801025.711591882,6.94
363462.2910841857,5801025.912444066,6.91
363461.4005507111,5801026.124096808,6.90
363460.5192078979,5801026.372223252,6.90
363459.6150516063,5801026.58425376,6.88
363458.74256714195,5801026.807649648,6.88
363457.86336696823,5801027.010085236,6.85
363456.9879731739,5801027.226884198,6.85
363456.1036012717,5801027.439480176,6.84
363455.2478652235,5801027.676881322,6.81
363454.391078337,5801027.9009560365,6.80
363453.5229617574,5801028.109763169,6.80
363452.6412222864,5801028.318947917,6.78
363451.76328921196,5801028.542496034,6.75
363450.8932153899,5801028.803667701,6.75
363450.0341664989,5801029.044500491,6.74
363449.15858846356,5801029.254628128,6.71
363448.27103038493,5801029.450619198,6.70
363447.4168454042,5801029.670171155,6.67
363446.56115052407,5801029.835229319,6.66
363445.7058594999,5801029.990259667,6.65
363444.8406966721,5801030.108835525,6.63
363443.9631467664,5801030.24778833,6.60
363443.1017223621,5801030.4274745425,6.58
363442.24946428137,5801030.59355121,6.51
363441.3919143316,5801030.740854085,6.54
363440.52061820624,5801030.884086119,6.52
363439.66520424036,5801031.034669038,6.47
363438.8070933842,5801031.210925268,6.48
363437.952018509,5801031.373741818,6.48
363437.08762334357,5801031.54460762,6.44
363436.2320799988,5801031.739713736,6.42
363435.36935542204,5801031.921663304,6.37
363434.4946167961,5801032.1128497515,6.33
363433.63411755284,5801032.325901269,6.31
363432.7751995376,5801032.52221449,6.30
363431.935165668,5801032.735812154,6.28
363431.0680494411,5801032.882268977,6.23
363430.2199066861,5801033.073832147,6.22
363429.3527874411,5801033.2447748175,6.20
363428.5127908621,5801033.410514102,6.16
363427.67447104276,5801033.538365905,6.12
363426.83612044045,5801033.6651057275,6.11
363425.9955106909,5801033.784117474,6.07
363425.1288879095,5801033.948369291,6.02
363424.2660407648,5801034.125872328,6.01
363423.4117989355,5801034.31871869,5.99
363422.5462889586,5801034.498521783,5.94
363421.6953913417,5801034.689049817,5.92
363420.84149487515,5801034.845158873,5.89
363419.97354094166,5801035.010561476,5.86
363419.0927654891,5801035.205256939,5.83
363418.19651171064,5801035.382573934,5.79
363417.32533102925,5801035.603715212,5.76
363416.43951338704,5801035.764048664,5.72
363415.5544108115,5801035.900989972,5.70
363414.6875143087,5801036.030748999,5.66
363413.8114855262,5801036.150744508,5.63
363412.92121434084,5801036.273360866,5.59
363412.03521501576,5801036.402536839,5.55
363411.1622191686,5801036.533578519,5.52
363410.2476764215,5801036.6412864225,5.48
363409.371518494,5801036.80580533,5.43
363408.4722384722,5801036.923107317,5.39
363407.5981609187,5801037.039710935,5.36
363406.7222000874,5801037.11296086,5.33
363405.82630406576,5801037.155600176,5.30
363404.95975602255,5801037.224137617,5.26
363404.10646102857,5801037.278952163,5.23
363403.26282241946,5801037.36243657,5.20
363402.40481809864,5801037.444093358,5.18
363401.5347997651,5801037.534987106,5.15
363400.6746317167,5801037.5877668075,5.13
363399.8364145085,5801037.645503091,5.10
363399.0035231817,5801037.69863999,5.08
