"UTC,""Depth..m."",""mid_latitude"",""mid_longitude"""
151714,7.56,52.342138215,12.99494007
151715,7.59,52.342136185,12.99494787
151716,7.59,52.34213419,12.994955685
151717,7.6,52.342132255,12.9949636
151718,7.61,52.342130355,12.99497156
151719,7.62,52.34212847,12.99497946
151720,7.64,52.342126625,12.994987355
151721,7.65,52.34212477,12.994995255
151722,7.66,52.342122895,12.995003135
151723,7.66,52.34212095,12.995011015
151724,7.65,52.342118955,12.99501892
151725,7.67,52.34211696,12.99502685
151726,7.68,52.34211493,12.995034735
151727,7.69,52.342112835,12.995042555
151728,7.71,52.342110705,12.99505044
151729,7.73,52.34210864,12.99505841
151730,7.72,52.342106645,12.99506633
151731,7.75,52.342104665,12.995074245
151732,7.74,52.342102705,12.995082225
151733,7.76,52.34210072,12.995090175
151734,7.77,52.34209874,12.99509812
151735,7.75,52.34209681,12.9951061
151736,7.77,52.342094935,12.995114115
151737,7.79,52.342093095,12.995122145
151738,7.8,52.342091285,12.995130185
151739,7.81,52.342089515,12.99513828
151740,7.81,52.342087725,12.99514638
151741,7.82,52.342085955,12.995154465
151742,7.83,52.342084225,12.99516254
151743,7.85,52.342082545,12.99517065
151744,7.85,52.342080935,12.99517873
151745,7.85,52.34207943,12.995186825
151746,7.85,52.342077975,12.995195025
151747,7.86,52.3420765,12.99520327
151748,7.88,52.34207502,12.99521142
151749,7.87,52.34207348,12.99521938
151750,7.88,52.342071855,12.99522725
151751,7.88,52.342070145,12.995235045
151752,7.89,52.34206844,12.99524286
151753,7.91,52.342066735,12.9952507
151754,7.91,52.342065055,12.995258585
151755,7.91,52.34206344,12.995266495
151756,7.93,52.342061805,12.995274345
151757,7.93,52.34206011,12.99528226
151758,7.93,52.342058335,12.9952902
151759,7.95,52.342056465,12.99529801
151800,7.95,52.34205455,12.995305545
151801,7.95,52.34205269,12.9953128
151802,7.95,52.342050805,12.995320005
151803,7.97,52.342048835,12.995327295
151804,7.97,52.342046805,12.99533486
151805,7.98,52.342044635,12.99534305
151806,8,52.34204232,12.995351775
151807,7.98,52.342039965,12.99536085
151808,8,52.342037545,12.995370215
151809,8.01,52.342034975,12.995379745
151810,8.02,52.342032345,12.995389425
151811,8,52.34202969,12.99539915
151812,8.03,52.342026965,12.99540893
151813,8.03,52.34202419,12.9954189
151814,8.02,52.34202138,12.995429025
151815,8.04,52.342018565,12.995439125
151816,8.05,52.342015685,12.99544926
151817,8.06,52.342012675,12.99545953
151818,8.05,52.34200958,12.995469835
151819,8.04,52.34200636,12.99547996
151820,8.05,52.342003125,12.995489665
151821,8.08,52.341999935,12.995498905
151822,8.1,52.34199669,12.995507885
151823,8.12,52.34199347,12.99551667
151824,8.12,52.34199024,12.995525285
151825,8.12,52.34198697,12.995533865
151826,8.13,52.34198377,12.99554224
151827,8.13,52.34198059,12.995550375
151828,8.14,52.341977425,12.995558535
151829,8.15,52.341974395,12.995566655
151830,8.16,52.341971545,12.99557465
151831,8.16,52.341968815,12.995582705
151832,8.17,52.341966175,12.99559081
151833,8.18,52.34196365,12.995598885
151834,8.2,52.34196121,12.99560693
151835,8.2,52.341958855,12.995614975
151836,8.2,52.341956575,12.99562298
151837,8.21,52.34195441,12.995630975
151838,8.21,52.341952275,12.99563906
151839,8.22,52.341950145,12.995647205
151840,8.22,52.341948125,12.99565526
151841,8.23,52.34194613,12.99566319
151842,8.25,52.341944165,12.99567118
151843,8.24,52.341942285,12.99567922
151844,8.22,52.341940485,12.99568724
151845,8.22,52.34193876,12.995695215
151846,8.24,52.34193707,12.99570316
151847,8.25,52.341935375,12.995711155
151848,8.24,52.34193366,12.995719145
151849,8.25,52.341931925,12.99572705
151850,8.28,52.341930195,12.995734875
151851,8.28,52.341928495,12.99574271
