"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
150837,6.6,"52.34255162","12.99540085"
150838,6.58,"52.34255290","12.99538828"
150839,6.51,"52.34255401","12.99537564"
150840,6.54,"52.34255508","12.99536280"
150841,6.52,"52.34255622","12.99535019"
150842,6.47,"52.34255759","12.99533753"
150843,6.48,"52.34255884","12.99532492"
150844,6.48,"52.34256016","12.99531217"
150845,6.44,"52.34256170","12.99529954"
150846,6.42,"52.34256312","12.99528681"
150847,6.37,"52.34256462","12.99527390"
150848,6.33,"52.34256632","12.99526119"
150849,6.31,"52.34256787","12.99524851"
150850,6.3,"52.34256958","12.99523610"
150851,6.28,"52.34257068","12.99522332"
150852,6.23,"52.34257219","12.99521080"
150853,6.22,"52.34257351","12.99519801"
150854,6.2,"52.34257479","12.99518562"
150855,6.16,"52.34257573","12.99517327"
150857,6.07,"52.34257752","12.99514854"
150911,5.66,"52.34259575","12.99496884"
150915,5.48,"52.34259927","12.99491636"
150916,5.43,"52.34260053","12.99490344"
150918,5.36,"52.34260219","12.99487733"
150920,5.3,"52.34260279","12.99485129"
150920,5.33,"52.34260279","12.99485129"
150921,5.26,"52.34260319","12.99483855"
150923,5.23,"52.34260401","12.99481360"
150924,5.2,"52.34260453","12.99480098"
150927,5.13,"52.34260570","12.99476322"
150928,5.1,"52.34260597","12.99475098"
150929,5.08,"52.34260586","12.99473830"
150930,5.06,"52.34260613","12.99472558"
150931,5.06,"52.34260661","12.99471273"
150932,5.07,"52.34260734","12.99470044"
150933,5.05,"52.34260812","12.99468803"
150934,5.03,"52.34260878","12.99467520"
150935,4.99,"52.34260987","12.99466238"
150936,4.97,"52.34261161","12.99464981"
150937,4.92,"52.34261314","12.99463725"
150938,4.87,"52.34261451","12.99462454"
150939,4.86,"52.34261572","12.99461173"
150940,4.83,"52.34261700","12.99459886"
150941,4.79,"52.34261827","12.99458614"
150942,4.77,"52.34261986","12.99457381"
150943,4.73,"52.34262080","12.99456093"
150944,4.72,"52.34262197","12.99454828"
150945,4.69,"52.34262320","12.99453524"
150946,4.65,"52.34262468","12.99452259"
150947,4.63,"52.34262593","12.99450996"
150948,4.6,"52.34262710","12.99449716"
150949,4.57,"52.34262809","12.99448420"
150950,4.54,"52.34262961","12.99447118"
150951,4.51,"52.34263063","12.99445831"
150952,4.49,"52.34263154","12.99444572"
150953,4.45,"52.34263183","12.99443292"
150954,4.44,"52.34263301","12.99442015"
150955,4.41,"52.34263361","12.99440710"
150956,4.39,"52.34263487","12.99439476"
150957,4.37,"52.34263566","12.99438224"
